Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,47950.000000,49100.000000,47600.000000,48800.000000,44121.847656,20481981
2020-05-19,50100.000000,50500.000000,49700.000000,50300.000000,45478.058594,25168295
2020-05-20,50000.000000,50200.000000,49800.000000,50000.000000,45206.816406,14896899
2020-05-21,50300.000000,50400.000000,49850.000000,49950.000000,45161.609375,14949266
2020-05-22,49600.000000,49800.000000,48600.000000,48750.000000,44076.648438,19706284
2020-05-25,48750.000000,48900.000000,48450.000000,48850.000000,44167.058594,14337913
2020-05-26,48700.000000,49450.000000,48600.000000,49250.000000,44528.718750,15127490
2020-05-27,48950.000000,50000.000000,48800.000000,49900.000000,45116.398438,19548479
2020-05-28,51100.000000,51200.000000,49900.000000,50400.000000,45568.476563,31309318
2020-05-29,50000.000000,50700.000000,49700.000000,50700.000000,45839.710938,27596961
2020-06-01,50800.000000,51200.000000,50600.000000,51200.000000,46291.781250,16949183
2020-06-02,51000.000000,51500.000000,50800.000000,51400.000000,46472.605469,14247933
2020-06-03,51800.000000,55000.000000,51700.000000,54500.000000,49275.429688,49257814
2020-06-04,55800.000000,57000.000000,54600.000000,54600.000000,49365.843750,40220334
2020-06-05,54400.000000,55900.000000,54000.000000,55500.000000,50179.558594,22743629
2020-06-08,56400.000000,56500.000000,54700.000000,54900.000000,49637.089844,25634965
2020-06-09,55800.000000,56500.000000,54400.000000,55500.000000,50179.558594,23998831
2020-06-10,55100.000000,55900.000000,54900.000000,55400.000000,50089.148438,16742493
2020-06-11,54500.000000,55100.000000,53200.000000,54300.000000,49094.609375,33815123
2020-06-12,52100.000000,52800.000000,51500.000000,52300.000000,47286.324219,26976019
2020-06-15,51400.000000,52000.000000,49900.000000,49900.000000,45116.398438,28772921
2020-06-16,51200.000000,52100.000000,50600.000000,52100.000000,47105.500000,21808375
2020-06-17,52100.000000,52900.000000,51300.000000,52200.000000,47195.910156,26672595
2020-06-18,52200.000000,52300.000000,51600.000000,52300.000000,47286.324219,15982926
2020-06-19,52600.000000,52900.000000,51600.000000,52900.000000,47828.816406,18157985
2020-06-22,52000.000000,52600.000000,51800.000000,52000.000000,47015.089844,13801350
2020-06-23,52500.000000,52800.000000,51100.000000,51400.000000,46472.605469,18086152
2020-06-24,51900.000000,53900.000000,51600.000000,52900.000000,47828.816406,24519552
2020-06-25,52100.000000,53000.000000,51900.000000,51900.000000,46924.675781,18541624
2020-06-26,52800.000000,53900.000000,52200.000000,53300.000000,48190.468750,21575360
2020-06-29,52500.000000,53200.000000,52000.000000,52400.000000,47693.503906,17776925
2020-06-30,53900.000000,53900.000000,52800.000000,52800.000000,48057.578125,21157172
2020-07-01,53400.000000,53600.000000,52400.000000,52600.000000,47875.539063,16706143
2020-07-02,52100.000000,52900.000000,52100.000000,52900.000000,48148.601563,14142583
2020-07-03,53000.000000,53600.000000,52700.000000,53600.000000,48785.722656,11887868
2020-07-06,54000.000000,55000.000000,53800.000000,55000.000000,50059.968750,19856623
2020-07-07,55800.000000,55900.000000,53400.000000,53400.000000,48603.691406,30760032
2020-07-08,53600.000000,53900.000000,52900.000000,53000.000000,48239.613281,19664652
2020-07-09,53200.000000,53600.000000,52800.000000,52800.000000,48057.578125,17054850
2020-07-10,53100.000000,53200.000000,52300.000000,52700.000000,47966.562500,13714746
2020-07-13,53300.000000,53800.000000,53100.000000,53400.000000,48603.691406,12240188
2020-07-14,53700.000000,53800.000000,53200.000000,53800.000000,48967.757813,14269484
2020-07-15,54400.000000,55000.000000,54300.000000,54700.000000,49786.925781,24051450
2020-07-16,54800.000000,54800.000000,53800.000000,53800.000000,48967.757813,16779127
2020-07-17,54200.000000,54700.000000,54100.000000,54400.000000,49513.871094,10096174
2020-07-20,54800.000000,54800.000000,54000.000000,54200.000000,49331.835938,10507530
2020-07-21,55200.000000,55400.000000,54800.000000,55300.000000,50333.027344,18297260
2020-07-22,55300.000000,55500.000000,54700.000000,54700.000000,49786.925781,12885057
2020-07-23,54700.000000,54700.000000,53800.000000,54100.000000,49240.816406,16214932
2020-07-24,54000.000000,54400.000000,53700.000000,54200.000000,49331.835938,10994535
2020-07-27,54300.000000,55700.000000,54300.000000,55600.000000,50606.085938,21054421
2020-07-28,57000.000000,58800.000000,56400.000000,58600.000000,53336.621094,48431566
2020-07-29,60300.000000,60400.000000,58600.000000,59000.000000,53700.699219,36476611
2020-07-30,59700.000000,60100.000000,59000.000000,59000.000000,53700.699219,19285354
2020-07-31,59500.000000,59600.000000,57700.000000,57900.000000,52699.507813,21943345
2020-08-03,57800.000000,57900.000000,56700.000000,56800.000000,51698.304688,21158940
2020-08-04,57200.000000,58100.000000,57000.000000,57300.000000,52153.386719,19419694
2020-08-05,57300.000000,57500.000000,56300.000000,56900.000000,51789.316406,17739706
2020-08-06,57100.000000,58400.000000,57100.000000,58000.000000,52790.515625,21625874
2020-08-07,57900.000000,58400.000000,57100.000000,57500.000000,52335.429688,18751717
2020-08-10,57600.000000,58300.000000,57500.000000,57800.000000,52608.484375,17774291
2020-08-11,58000.000000,59500.000000,57800.000000,58200.000000,52972.554688,24907912
2020-08-12,58200.000000,59000.000000,57700.000000,59000.000000,53700.699219,18573934
2020-08-13,59400.000000,59600.000000,58000.000000,58700.000000,53427.644531,22089460
2020-08-14,58000.000000,58400.000000,57700.000000,58000.000000,52790.515625,15672548
2020-08-18,58900.000000,59900.000000,58000.000000,58400.000000,53154.585938,25307825
2020-08-19,59000.000000,59200.000000,57800.000000,57800.000000,52608.484375,16930719
2020-08-20,57600.000000,57600.000000,55300.000000,55400.000000,50424.054688,30386029
2020-08-21,56200.000000,56900.000000,55800.000000,55900.000000,50879.140625,21142288
2020-08-24,55800.000000,56600.000000,55400.000000,56100.000000,51061.179688,15055896
2020-08-25,56400.000000,56800.000000,56100.000000,56400.000000,51334.222656,14021705
2020-08-26,56400.000000,56500.000000,55700.000000,56400.000000,51334.222656,17651593
2020-08-27,56300.000000,56300.000000,55600.000000,55600.000000,50606.085938,16196568
2020-08-28,56100.000000,56300.000000,55400.000000,55400.000000,50424.054688,14619888
2020-08-31,56000.000000,56100.000000,54000.000000,54000.000000,49149.796875,32671367
2020-09-01,54100.000000,54800.000000,54100.000000,54200.000000,49331.835938,19363117
2020-09-02,54600.000000,55100.000000,54100.000000,54400.000000,49513.871094,16905723
2020-09-03,55600.000000,56700.000000,55500.000000,56400.000000,51334.222656,28384920
2020-09-04,55200.000000,55800.000000,55100.000000,55600.000000,50606.085938,22139109
2020-09-07,56100.000000,57300.000000,55800.000000,56500.000000,51425.257813,18685880
2020-09-08,57400.000000,58700.000000,57200.000000,58700.000000,53427.644531,31517520
2020-09-09,58200.000000,59300.000000,57800.000000,58400.000000,53154.585938,30597399
2020-09-10,59900.000000,60000.000000,59100.000000,59200.000000,53882.738281,29923293
2020-09-11,59300.000000,59400.000000,58200.000000,59000.000000,53700.699219,16017098
2020-09-14,60200.000000,60800.000000,59900.000000,60400.000000,54974.949219,20648281
2020-09-15,60900.000000,61000.000000,60500.000000,61000.000000,55521.066406,17877075
2020-09-16,61100.000000,61300.000000,60600.000000,61000.000000,55521.066406,17041444
2020-09-17,60700.000000,60800.000000,59300.000000,59500.000000,54155.792969,25108356
2020-09-18,59800.000000,59900.000000,59100.000000,59300.000000,53973.753906,18884571
2020-09-21,59100.000000,60000.000000,59000.000000,59200.000000,53882.738281,15140387
2020-09-22,59100.000000,59700.000000,57800.000000,58200.000000,52972.554688,20830381
2020-09-23,58400.000000,58800.000000,57400.000000,58600.000000,53336.621094,20111398
2020-09-24,57700.000000,58600.000000,57600.000000,57800.000000,52608.484375,17564020
2020-09-25,57700.000000,58200.000000,57700.000000,57900.000000,52699.507813,11444683
2020-09-28,58300.000000,58800.000000,57900.000000,58200.000000,53298.421875,12614080
2020-09-29,58300.000000,59000.000000,58200.000000,58200.000000,53298.421875,15503563
2020-10-05,57500.000000,59200.000000,57500.000000,58700.000000,53756.312500,20228289
2020-10-06,59400.000000,59900.000000,58700.000000,59000.000000,54031.046875,14463826
2020-10-07,58700.000000,59900.000000,58500.000000,59900.000000,54855.257813,14861838
2020-10-08,60500.000000,60700.000000,59500.000000,59700.000000,54672.093750,24589924
2020-10-12,60000.000000,60400.000000,59900.000000,60400.000000,55313.140625,16145837
2020-10-13,61000.000000,61400.000000,60400.000000,60900.000000,55771.031250,19247631
2020-10-14,61000.000000,61100.000000,60500.000000,60900.000000,55771.031250,16086716
2020-10-15,60700.000000,60800.000000,59700.000000,60000.000000,54946.828125,17756232
2020-10-16,60000.000000,60400.000000,59000.000000,59500.000000,54488.929688,16554190
2020-10-19,59600.000000,60200.000000,59500.000000,60000.000000,54946.828125,14474985
2020-10-20,60300.000000,60900.000000,60100.000000,60900.000000,55771.031250,19326115
2020-10-21,61200.000000,61500.000000,60600.000000,60900.000000,55771.031250,15703443
2020-10-22,60300.000000,60500.000000,59800.000000,60100.000000,55038.406250,14294095
2020-10-23,60400.000000,60400.000000,59800.000000,60200.000000,55129.984375,9322232
2020-10-26,60400.000000,61100.000000,60100.000000,60400.000000,55313.140625,13268226
2020-10-27,60300.000000,60300.000000,59500.000000,59800.000000,54763.671875,17260416
2020-10-28,59400.000000,59400.000000,58800.000000,59000.000000,54031.046875,14428882
2020-10-29,58200.000000,58500.000000,57500.000000,58100.000000,53206.843750,22636966
2020-10-30,58000.000000,58000.000000,56600.000000,56600.000000,51833.171875,26907844
2020-11-02,56400.000000,57500.000000,56000.000000,57400.000000,52565.792969,20489076
2020-11-03,57900.000000,58900.000000,57600.000000,58800.000000,53847.890625,14950919
2020-11-04,58900.000000,59000.000000,57800.000000,58500.000000,53573.160156,21718561
2020-11-05,59000.000000,60300.000000,58800.000000,60300.000000,55221.562500,20639475
2020-11-06,60700.000000,60800.000000,59600.000000,60100.000000,55038.406250,16910230
2020-11-09,60700.000000,60900.000000,60100.000000,60200.000000,55129.984375,15892961
2020-11-10,60500.000000,60500.000000,59500.000000,60200.000000,55129.984375,19073552
2020-11-11,60700.000000,61400.000000,60400.000000,61300.000000,56137.347656,25628510
2020-11-12,61000.000000,61400.000000,60700.000000,61000.000000,55862.605469,19800573
2020-11-13,61300.000000,63200.000000,61000.000000,63200.000000,57877.328125,31508829
2020-11-16,64000.000000,66700.000000,63900.000000,66300.000000,60716.253906,36354334
2020-11-17,67000.000000,67000.000000,65600.000000,65700.000000,60166.769531,30204089
2020-11-18,65700.000000,66200.000000,64700.000000,64800.000000,59342.574219,22963790
2020-11-19,64100.000000,64800.000000,63900.000000,64600.000000,59159.417969,16590290
2020-11-20,63900.000000,65200.000000,63900.000000,64700.000000,59251.000000,15068682
2020-11-23,64800.000000,67800.000000,64700.000000,67500.000000,61815.183594,27134398
2020-11-24,67900.000000,69500.000000,67000.000000,67700.000000,61998.347656,32158235
2020-11-25,67900.000000,68300.000000,66500.000000,66600.000000,60990.992188,32447065
2020-11-26,66100.000000,68000.000000,66000.000000,68000.000000,62273.066406,19023323
2020-11-27,68000.000000,68400.000000,67600.000000,68200.000000,62456.226563,14063434
2020-11-30,68400.000000,68600.000000,66700.000000,66700.000000,61082.562500,43811016
2020-12-01,67100.000000,68300.000000,67100.000000,67800.000000,62089.917969,22327173
2020-12-02,68400.000000,69900.000000,68300.000000,69500.000000,63646.742188,29703942
2020-12-03,70100.000000,70500.000000,69300.000000,69700.000000,63829.886719,23677989
2020-12-04,70400.000000,72100.000000,70100.000000,71500.000000,65478.300781,28130533
2020-12-07,72400.000000,73500.000000,71900.000000,72900.000000,66760.390625,28490496
2020-12-08,72200.000000,72900.000000,71600.000000,71700.000000,65661.460938,25000338
2020-12-09,72100.000000,73900.000000,72000.000000,73900.000000,67676.179688,24077996
2020-12-10,72700.000000,73800.000000,72500.000000,72900.000000,66760.390625,39882928
2020-12-11,73500.000000,73800.000000,73100.000000,73400.000000,67218.304688,18486672
2020-12-14,73600.000000,74500.000000,73200.000000,73800.000000,67584.609375,21510415
2020-12-15,73800.000000,74100.000000,73300.000000,73800.000000,67584.609375,20863671
2020-12-16,74100.000000,74500.000000,73400.000000,73800.000000,67584.609375,17512081
2020-12-17,73400.000000,73700.000000,72600.000000,73300.000000,67126.710938,24293214
2020-12-18,73300.000000,73700.000000,73000.000000,73000.000000,66851.984375,17613029
2020-12-21,73100.000000,73400.000000,72000.000000,73000.000000,66851.984375,20367355
2020-12-22,72500.000000,73200.000000,72100.000000,72300.000000,66210.921875,16304910
